
8XY1 	Sets VX to VX or VY.
8XY2 	Sets VX to VX and VY.
8XY3 	Sets VX to VX xor VY.
8XY4 	Adds VY to VX. VF is set to 1 when there's a carry, and to 0 when there isn't.
8XY5 	VY is subtracted from VX. VF is set to 0 when there's a borrow, and 1 when there isn't.
8XY6 	Shifts VX right by one. VF is set to the value of the least significant bit of VX before the shift.[2]
8XY7 	Sets VX to VY minus VX. VF is set to 0 when there's a borrow, and 1 when there isn't.
8XYE 	Shifts VX left by one. VF is set to the value of the most significant bit of VX before the shift.[2]
9XY0 	Skips the next instruction if VX doesn't equal VY
CXNN 	Sets VX to the result of a bitwise and operation on a random number and NN.
DXYN 	Sprites stored in memory at location in index register (I), 8bits wide. Wraps around the screen. If when drawn, clears a pixel, register VF is set to 1 otherwise it is zero. All drawing is XOR drawing (i.e. it toggles the screen pixels). Sprites are drawn starting at position VX, VY. N is the number of 8bit rows that need to be drawn. If N is greater than 1, second line continues at position VX, VY+1, and so o
FX29 	Sets I to the location of the sprite for the character in VX. Characters 0-F (in hexadecimal) are represented by a 4x5 font.
FX33 	Stores the Binary-coded decimal representation of VX, with the most significant of three digits at the address in I, the middle digit at I plus 1, and the least significant digit at I plus 2. (In other words, take the decimal representation of VX, place the hundreds digit in memory at location in I, the tens digit at location I+1, and the ones digit at location I+2
